ds,yhat,yhat_lower,yhat_upper
2014-09-17,337.99115542954,-6381.901151925494,7884.036881678839
2014-09-18,336.67495494850857,-6205.005409397885,8027.423191290934
2014-09-19,336.26652027430623,-6762.357005168567,7626.773407100151
2014-09-20,336.2541290705972,-6866.328618212178,7402.089262339374
2014-09-21,337.9855055489822,-6308.407906212103,7239.409690152906
2014-09-22,338.43607744088735,-6837.459297301645,7814.828791548704
2014-09-23,337.940234544068,-7097.433796051515,7701.703272738571
2014-09-24,339.3980254856358,-6789.675607434116,7595.254486034625
2014-09-25,338.0778560753606,-6762.907111708094,7715.985535630898
2014-09-26,337.52394934753795,-6381.449612513356,7504.370457630845
2014-09-27,337.2376366965914,-6938.912344755485,7383.190867441541
2014-09-28,338.56375545668817,-7097.613127645798,8293.887749927932
2014-09-29,338.52290099655477,-6351.444499701511,7629.7554801694205
2014-09-30,337.4625032024001,-6757.633411599213,7021.184398677633
2014-10-01,338.2710093550924,-6155.455289021794,7851.151054346012
2014-10-02,336.2858015204057,-6834.352422120718,7560.501169811919
2014-10-03,335.0351126879475,-6823.639928751686,7200.17884136774
2014-10-04,334.04645576930665,-6841.563456698307,7426.072168895413
2014-10-05,334.67127581201504,-6830.308245586801,7307.576108082923
2014-10-06,333.9809278451974,-6283.540596527198,7798.142454077278
2014-10-07,332.3374180764116,-6456.448215018047,7547.950776989901
2014-10-08,332.61504035747026,-6615.493087617277,7711.399828098381
2014-10-09,330.2136017212091,-6778.995577493665,6775.696558926609
2014-10-10,328.6350026658898,-6389.4193808755645,7574.094079591082
2014-10-11,327.41912475271835,-6888.662641964453,7681.839369707325
2014-10-12,327.9071612630534,-6670.0924694108735,7067.825372430502
2014-10-13,327.20183498124607,-6513.9772973842255,7219.218740108473
2014-10-14,325.65839327597735,-6872.095268849063,7391.956583768809
2014-10-15,326.11434467691134,-7125.1692007828,6676.633307191472
2014-10-16,324.008677087327,-6713.118664162558,7352.73230101655
2014-10-17,322.79380427014075,-6897.797217237988,7331.060611549636
2014-10-18,321.99961062336104,-6790.198235259574,8032.853260234951
2014-10-19,322.93613447954726,-7324.176879985641,7175.508278959239
2014-10-20,322.7186554683754,-6428.431410966639,8016.925915843678
2014-10-21,321.6795097192636,-7357.166655108178,7880.612246295171
2014-10-22,322.6064124198566,-7064.905536100556,7517.030596084794
2014-10-23,320.96805964485344,-7480.903276931928,7138.265002162663
2014-10-24,320.1617253186556,-6878.054760184849,7536.262904780788
2014-10-25,319.70563222425596,-6379.12553191131,7902.259866902883
2014-10-26,320.8810366633087,-6782.843376318921,7461.883270946306
2014-10-27,320.8221122527684,-6722.3960461891265,7462.875117008608
2014-10-28,319.84839234998697,-7089.552901530966,6907.865510249592
2014-10-29,320.7113716290682,-6692.8010321909005,7511.504746230947
2014-10-30,318.92607959498207,-7001.956077877763,7441.975406383671
2014-10-31,317.85382336499555,-6162.870467592688,7220.673952078974
2014-11-01,317.0223025463891,-7249.295543617592,7424.055578730902
2014-11-02,317.7064525419468,-6893.4791298652735,7297.723872603394
2014-11-03,317.0824408931828,-6208.506607140533,7580.574712408906
2014-11-04,315.4800323005487,-6855.684347734724,7337.626414361448
2014-11-05,315.63676493140156,-7145.937988445116,7317.718652469551
2014-11-06,313.1348127786065,-6789.2970062047525,7998.041150147082
2014-11-07,311.3182333668577,-7276.536687842079,6996.734306692341
2014-11-08,309.74024684200515,-7373.068457400973,7460.429340201005
2014-11-09,309.68233700581715,-7053.081925459887,7617.6014480769145
2014-11-10,308.37195322877426,-7055.788127081686,6901.966463815938
2014-11-11,306.15449746545346,-6731.97148456667,7439.821784493051
2014-11-12,305.7548903769906,-7450.739044838946,7720.359209264071
2014-11-13,302.81965919304304,-6916.931064370123,7168.947475516547
2014-11-14,300.66875087849957,-6436.900759916373,7741.317723423863
2014-11-15,298.87015848072326,-6959.768415303492,7812.800587616966
2014-11-16,298.6975804520616,-6427.560750823688,7672.029356989195
2014-11-17,297.4122377124464,-7027.939089011723,7039.360438693152
2014-11-18,295.35498952340987,-6976.195519916292,7339.354646823523
2014-11-19,295.21587892453556,-6500.547183288157,7254.444207546343
2014-11-20,292.6821011040652,-6779.065729671662,6958.475226765625
2014-11-21,291.02508342234216,-6933.762549874243,7335.7501988423655
2014-11-22,289.80318626289534,-7131.708807868773,7602.205581640723
2014-11-23,290.2586523700953,-6849.5940424645505,7450.785556962058
2014-11-24,289.66425370032965,-6563.628035680613,7128.516843465586
2014-11-25,288.33621256473776,-7260.356025032965,7126.854163247179
2014-11-26,288.9123444704967,-7112.680056834411,7404.2752978308035
2014-11-27,287.1064483203298,-7247.467248671854,7795.851004005049
2014-11-28,286.1311015729224,-7008.314700515399,7275.34792544546
2014-11-29,285.5287772297269,-6772.4711570455975,6993.085433671913
2014-11-30,286.5083076265494,-6726.578489482534,7178.417175918554
2014-12-01,286.35646115110967,-6726.027287764001,7452.976191586781
2014-12-02,285.37164079606396,-7116.786568022146,7005.2886631143965
2014-12-03,286.1504687386632,-6862.485855045232,7409.0044258585
2014-12-04,284.4483187301675,-7514.404107614928,7637.428716557238
2014-12-05,283.4374302204908,-6826.985110122249,7407.76687650514
2014-12-06,282.6659396077131,-6550.258711367082,7525.867695699487
2014-12-07,283.33326483118606,-6745.569501111112,7384.408816720665
2014-12-08,282.76594313545525,-6615.261854757972,7170.399927084238
2014-12-09,281.2713818734431,-6828.491547600605,7631.328983787671
2014-12-10,281.4321238286092,-7285.320191416849,7078.618270051525
2014-12-11,279.07174655603495,-6480.955273224684,7365.37064906107
2014-12-12,277.34752805362524,-6902.864045880565,7026.942160188603
2014-12-13,275.83665457674056,-6677.645694700099,7730.756082928336
2014-12-14,275.74983916274,-6224.048952854611,7407.079575279669
2014-12-15,274.47080410904346,-6407.606097041493,7452.925509148687
2014-12-16,272.32955597909717,-7456.973746737294,7762.2054601670725
2014-12-17,271.90390718022496,-7268.24108568086,7467.3830622825935
